ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
ALE1975,ALE1975.pdf,,application/pdf,sources/ALE1975.pdf,
Alpher1999,Alpher1999.pdf,,application/pdf,sources/Alpher1999.pdf,
Ardila2007,Ardila2007.pdf,,application/pdf,sources/Ardila2007.pdf,
Backstrom1992,Backstrom1992.pdf,,application/pdf,sources/Backstrom1992.pdf,
Bakstrom1992,Bakstrom1992.pdf,,application/pdf,sources/Bakstrom1992.pdf,
Bastin1999,Bastin1999.pdf,,application/pdf,sources/Bastin1999.pdf,
Beaufils2015,Beaufils2015.pdf,,application/pdf,sources/Beaufils2015.pdf,
Bender1971,Bender1971.pdf,,application/pdf,sources/Bender1971.pdf,
Benedict1976,Benedict1976.pdf,,application/pdf,sources/Benedict1976.pdf,
BirketSmith1928,BirketSmith1928.pdf,,application/pdf,sources/BirketSmith1928.pdf,
Borin2012,Borin2012.pdf,,application/pdf,sources/Borin2012.pdf,
Bowern2008,Bowern2008.pdf,,application/pdf,sources/Bowern2008.pdf,
Bowern2012,Bowern2012.pdf,,application/pdf,sources/Bowern2012.pdf,
Brinton1891,Brinton1891.pdf,,application/pdf,sources/Brinton1891.pdf,
Bromley1967,Bromley1967.pdf,,application/pdf,sources/Bromley1967.pdf,
Brown1837,Brown1837.pdf,,application/pdf,sources/Brown1837.pdf,
Buck1949,Buck1949.pdf,,application/pdf,sources/Buck1949.pdf,
Calero2002,Calero2002.pdf,,application/pdf,sources/Calero2002.pdf,
Campbell1999,Campbell1999.pdf,,application/pdf,sources/Campbell1999.pdf,
Capell1956,Capell1956.pdf,,application/pdf,sources/Capell1956.pdf,
Castro2015,Castro2015.pdf,,application/pdf,sources/Castro2015.pdf,
Chen1996,Chen1996.pdf,,application/pdf,sources/Chen1996.pdf,
Chen2009,Chen2009.pdf,,application/pdf,sources/Chen2009.pdf,
Clouse1993,Clouse1993.pdf,,application/pdf,sources/Clouse1993.pdf,
ConradandDye1975,ConradandDye1975.pdf,,application/pdf,sources/ConradandDye1975.pdf,
Cross1964,Cross1964.pdf,,application/pdf,sources/Cross1964.pdf,
DaCosta2016,DaCosta2016.pdf,,application/pdf,sources/DaCosta2016.pdf,
Daniel2021,Daniel2021.pdf,,application/pdf,sources/Daniel2021.pdf,
Daniels2016,Daniels2016.pdf,,application/pdf,sources/Daniels2016.pdf,
Davies1985,Davies1985.pdf,,application/pdf,sources/Davies1985.pdf,
Davletshin2012,Davletshin2012.pdf,,application/pdf,sources/Davletshin2012.pdf,
Dixon1919,Dixon1919.pdf,,application/pdf,sources/Dixon1919.pdf,
Dolch1936,Dolch1936.pdf,,application/pdf,sources/Dolch1936.pdf,
Dolgopolsky1964,Dolgopolsky1964.pdf,,application/pdf,sources/Dolgopolsky1964.pdf,
Dolgopolsky1986,Dolgopolsky1986.pdf,,application/pdf,sources/Dolgopolsky1986.pdf,
Duerr1987,Duerr1987.pdf,,application/pdf,sources/Duerr1987.pdf,
Duong2020,Duong2020.pdf,,application/pdf,sources/Duong2020.pdf,
Dye1968,Dye1968.pdf,,application/pdf,sources/Dye1968.pdf,
Dyen1964,Dyen1964.pdf,,application/pdf,sources/Dyen1964.pdf,
Ferguson1964,Ferguson1964.pdf,,application/pdf,sources/Ferguson1964.pdf,
Foley1986,Foley1986.pdf,,application/pdf,sources/Foley1986.pdf,
Forni2013,Forni2013.pdf,,application/pdf,sources/Forni2013.pdf,
Forster2006,Forster2006.pdf,,application/pdf,sources/Forster2006.pdf,
Gabelentz1861,Gabelentz1861.pdf,,application/pdf,sources/Gabelentz1861.pdf,
Gabelentz1891,Gabelentz1891.pdf,,application/pdf,sources/Gabelentz1891.pdf,
